name,cik,filer_name,13f_rows,status
11:11 CAPITAL CORP.,0001463262,11:11 Capital Corp.,6,success
"292 ASSET MANAGEMENT, LLC",0001483097,"292 Asset Management, LLC",17,success
2XIDEAS US INC.,0002058194,2Xideas US Inc.,3,success
"300 NORTH CAPITAL, LLC",0000080835,"300 NORTH CAPITAL, LLC",68,success
36 SOUTH CAPITAL ADVISORS LLP,0001845671,36 SOUTH CAPITAL ADVISORS LLP,4,success
"360 GLOBAL CAPITAL, LLC",0001507966,"360 Global Capital, LLC",5,success
361 CAPITAL LLC,0001476534,361 CAPITAL LLC,22,success
399 VENTURE PARTNERS INC,0000884315,399 VENTURE PARTNERS INC,12,success
3BRIDGE CAPITAL LLC,0001136287,3BRIDGE CAPITAL LLC,9,success
3D ASSET MANAGEMENT INC,0001359371,"3D ASSET MANAGEMENT, INC",40,success
"3D ASSET MANAGEMENT, INC",0001359371,"3D ASSET MANAGEMENT, INC",40,success
"3D/L CAPITAL MANAGEMENT, LLC",0001846943,"3D/L Capital Management, LLC",13,success
3G SAHANA CAPITAL MANAGEMENT LP,0001808275,Sahana Capital Management LP,18,success
3I INVESTMENTS PLC,0001163603,3I INVESTMENTS PLC,37,success
3V CAPITAL MANAGEMENT LLC,0001388743,Stagg Capital Group LLC,11,success
"40|86 ADVISORS, INC.",0001689637,"40|86 Advisors, Inc.",35,success
"440 INVESTMENT GROUP, LLC",0001473174,"440 INVESTMENT GROUP, LLC",4,success
AMTRUST BERMUDA I LTD.,0001810661,AmTrust Bermuda I Ltd.,8,success
"AMTRUST INTERNATIONAL BERMUDA, LTD.",0001696880,"AmTrust International Bermuda, Ltd.",10,success
AMUNDI ALTERNATIVE INVESTMENTS HOLDING,0001539032,AMUNDI ALTERNATIVE INVESTMENTS HOLDING,7,success
AMUNDI ALTERNATIVE INVESTMENTS LLC,0001539033,"Amundi Investments USA, LLC",8,success
AMUNDI ALTERNATIVE INVESTMENTS SAS,0001539035,AMUNDI ALTERNATIVE INVESTMENTS SAS,20,success
AMUNDI CANADA INC,0001847426,AMUNDI CANADA Inc,2,success
AMUNDI INVESTMENT SOLUTIONS,0001455168,Amundi Investment Solutions,14,success
AMUNDI INVESTMENT SOLUTIONS ADVISERS LLC,0001455170,Amundi Investment Solutions Americas LLC,14,success
AMUNDI INVESTMENT SOLUTIONS AMERICAS HOLDING INC,0001455171,Amundi Investment Solutions Americas Holding Inc,14,success
AMUNDI INVESTMENT SOLUTIONS AMERICAS INC,0001455171,Amundi Investment Solutions Americas Holding Inc,14,success
AMUNDI INVESTMENT SOLUTIONS AMERICAS LLC,0001455170,Amundi Investment Solutions Americas LLC,14,success
"AMUNDI INVESTMENTS USA, LLC",0001539033,"Amundi Investments USA, LLC",8,success
AMUNDI JAPAN HOLDING LTD.,0001482819,Amundi Japan Holding Ltd.,46,success
AMUNDI LUXEMBOURG SA,0001699155,AMUNDI LUXEMBOURG SA,18,success
"AMUNDI PIONEER INSTITUTIONAL ASSET MANAGEMENT, INC.",0001455160,"AMUNDI PIONEER INSTITUTIONAL ASSET MANAGEMENT, INC.",58,success
AMUNDI SMITH BREEDEN LLC,0001713416,Amundi Smith Breeden LLC,2,success
"AMUNDI USA, INC.",0001539036,"Amundi USA, Inc.",8,success
AMVESCAP NATIONAL TRUST CO,0001389884,Invesco National Trust CO,29,success
AMVESCAP PLC \GA\,0000864047,AMVESCAP PLC \GA\,5,success
ANALYTIC ASSET MANAGEMENT INC,0001160841,"FIELDPOINT PRIVATE ADVISORS, INC",69,success
ANALYTIC INVESTORS INC/CA,0001086137,"ANALYTIC INVESTORS, LLC",82,success
"ANALYTIC INVESTORS, LLC",0001086137,"ANALYTIC INVESTORS, LLC",82,success
ANALYTIC TSA INVESTORS INC,0001086135,ANALYTIC TSA INVESTORS INC,7,success
ANANDAR CAPITAL MANAGEMENT LP,0001616584,Anandar Capital Management LP,8,success
ANANDAR EVENT OPPORTUNITIES MASTER FUND LTD.,0001616484,Anandar Event Opportunities Master Fund Ltd.,8,success
ANAVON CAPITAL LLP,0001697186,Anavon Capital LLP,3,success
ANB BANK,0002067126,ANB BANK,4,success
"ANCHOR BOLT CAPITAL, LP",0001542943,"Anchor Bolt Capital, LP",31,success
"ANCHORAGE COLLATERAL MANAGEMENT, L.L.C.",0001965182,"Anchorage Collateral Management, L.L.C.",8,success
"ANCHORAGE OPPORTUNITIES ADVISOR, L.L.C.",0001965155,"Anchorage Opportunities Advisor, L.L.C.",1,success
"ANDALUSIAN CAPITAL PARTNERS, LP",0001463698,"Andalusian Capital Partners, LP",12,success
ANDESA FINANCIAL MANAGEMENT INC.,0001752985,Andesa Financial Management Inc.,22,success
ANDOR CAPITAL MANAGEMENT LLC,0001166147,"ANDOR CAPITAL MANAGEMENT, L.L.C.",52,success
"ANDOR CAPITAL MANAGEMENT, L.L.C.",0001166147,"ANDOR CAPITAL MANAGEMENT, L.L.C.",52,success
ANDOVER CAPITAL ADVISORS LP,0001316971,Andover Capital Advisors LP,16,success
"ANDREEFF EQUITY ADVISORS, LLC",0001317097,"ANDREEFF EQUITY ADVISORS, LLC",42,success
ANDROMEDA CAPITAL LLC,0001510475,Andromeda Capital LLC,20,success
ANGELO GORDON & CO LP,0000937789,ANGELO GORDON & CO LP,1,success
ANGELO GORDON & GO LP,0000937789,ANGELO GORDON & CO LP,1,success
"ANGLEPOINT ASSET MANAGEMENT, LTD.",0001760403,"ANGLEPOINT ASSET MANAGEMENT, LTD.",12,success
"ANNAPOLIS FINANCIAL SERVICES, LLC",0001843110,"Annapolis Financial Services, LLC",16,success
ANNE RAY CHARITABLE TRUST,0001661562,Anne Ray Charitable Trust,17,success
ANQA MANAGEMENT LLC,0001827210,Anqa Management LLC,13,success
ANSON ADVISORS INC.,0001581079,Anson Advisors Inc.,37,success
"ANTHION MANAGEMENT, LLC",0001500011,"Anthion Management, LLC",13,success
ANTIPODEAN ADVISORS LLC,0001512566,Antipodean Advisors LLC,53,success
"ANTIPODEAN DOMESTIC PARTNERS, LP",0001468891,"Antipodean Domestic Partners, LP",52,success
ANTONETTI CAPITAL MANAGEMENT LLC,0001568859,Antonetti Capital Management LLC,20,success
"AO ASSET MANAGEMENT, LLC",0001594585,"AO Asset Management, LP",31,success
"AO ASSET MANAGEMENT, LP",0001594585,"AO Asset Management, LP",31,success
AON ADVISORS INC,0000813494,AON ADVISORS INC,33,success
"APERIMUS CAPITAL, LLC",0001577216,"APERIMUS CAPITAL, LLC",34,success
"APERTURA CAPITAL, LLC",0001633570,"Apertura Capital, LLC",18,success
"APERTURE INVESTORS UK, LTD",0001910378,"Aperture Investors UK, Ltd",4,success
APEX CAPITAL LLC,0000943518,"APEX CAPITAL, LLC",69,success
APEX CAPITAL MANAGEMENT,0001293585,Apex Capital Management,47,success
"APEX CAPITAL, LLC",0000943518,"APEX CAPITAL, LLC",69,success
